"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,   40792,,,...,,...,35151728,,,...,,...
"Population and dwellings","Population; 2011",1,,...,,...,,...,33476688,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,,...,,...,,...,      5.0,,,...,,...
"Population and dwellings","Total private dwellings",2,   16062,,,...,,...,15412443,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   15575,,,...,,...,14072079,,,...,,...
"Population and dwellings","Population density per square kilometre",,,...,,...,,...,    3.9,,,...,,...
"Population and dwellings","Land area in square kilometres",,,...,,...,,...,8965588.85,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   40795,,   18945,,   21850,,35151730,,17264200,,17887530,
"Age characteristics","  0 to 14 years",,    5330,,    2765,,    2570,, 5839565,, 2992920,, 2846645,
"Age characteristics","    0 to 4 years",,    1875,,     985,,     885,, 1898790,,  973030,,  925760,
"Age characteristics","    5 to 9 years",,    1735,,     890,,     845,, 2018130,, 1034685,,  983445,
"Age characteristics","    10 to 14 years",,    1720,,     890,,     835,, 1922645,,  985200,,  937445,
"Age characteristics","  15 to 64 years",,   27435,,   12925,,   14510,,23376530,,11576130,,11800400,
"Age characteristics","    15 to 19 years",,    2325,,    1210,,    1120,, 2026160,, 1039215,,  986940,
"Age characteristics","    20 to 24 years",,    2760,,    1465,,    1295,, 2242690,, 1144495,, 1098200,
"Age characteristics","    25 to 29 years",,    2560,,    1310,,    1250,, 2285990,, 1144470,, 1141515,
"Age characteristics","    30 to 34 years",,    2700,,    1295,,    1405,, 2329395,, 1148290,, 1181110,
"Age characteristics","    35 to 39 years",,    2735,,    1135,,    1605,, 2288365,, 1118635,, 1169730,
"Age characteristics","    40 to 44 years",,    2760,,    1210,,    1550,, 2255135,, 1104440,, 1150695,
"Age characteristics","    45 to 49 years",,    2950,,    1285,,    1660,, 2359965,, 1157760,, 1202210,
"Age characteristics","    50 to 54 years",,    3150,,    1440,,    1705,, 2678075,, 1318755,, 1359320,
